Student_id,Name,Physics_marks,Chemistry_marks,Math_marks,Aptitude_test,Total_percentage,Reservation_category
2300103,abhinav,73,76,74,29,63,EWS
2300104,abhinay,88,54,49,86,69.25,EWS
2300105,abhinwav,69,41,64,20,48.5,EWS
2300106,abhiraj,69,56,72,56,63.25,ST
2300107,abhisek,50,80,84,61,68.75,SC
2300108,abhisekh,87,19,35,85,56.5,ST
2300109,abhishak,66,70,37,57,57.5,ST
2300110,abhishek,58,76,77,25,59,EWS
2300111,abhishekh,18,73,20,69,45,EWS
2300112,abhishiek,50,94,31,44,54.75,ST
2300113,abhishik,53,29,35,81,49.5,EWS
2300114,abid,24,63,85,28,50,ST
2300115,abida,36,94,53,52,58.75,General
2300116,abishak,26,64,60,95,61.25,SC
2300117,abishek,25,91,70,71,64.25,ST
2300118,abrar,19,16,66,99,50,ST
2300119,abu,59,82,91,89,80.25,ST
2300120,abul,22,21,15,73,32.75,SC
2300121,achin,76,99,59,35,67.25,ST
2300122,adalat,67,30,32,31,40,General
2300123,adan,82,23,86,59,62.5,ST
2300124,adarsh,31,86,64,34,53.75,General
2300125,adersen,44,46,84,31,51.25,SC
2300126,adesh,92,40,16,96,61,ST
2300127,adhish,65,56,87,99,76.75,ST
2300128,adi,43,55,80,34,53,General
2300129,adiba,91,84,24,32,57.75,General
2300130,adil,24,46,82,74,56.5,ST
2300131,adisan,50,81,15,43,47.25,ST
2300132,aditi,93,21,78,22,53.5,General
2300133,aditiya,100,84,47,60,72.75,General
2300134,aditya,71,30,47,88,59,EWS
2300135,adityalok,95,37,66,95,73.25,EWS
2300136,adnan,31,39,44,72,46.5,General
2300137,adrash,32,23,87,41,45.75,EWS
2300138,aejaz,69,67,49,31,54,EWS
2300139,aesha,37,87,23,49,49,General
2300140,afarin,59,77,59,88,70.75,General
2300141,affan,76,67,41,83,66.75,General
2300142,afjal,59,38,71,32,50,SC
2300143,afridi,89,88,28,96,75.25,ST
2300144,afrin,27,34,72,43,44,General
2300145,afrina,24,61,30,25,35,ST
2300146,afroz,82,82,58,34,64,EWS
2300147,afsana,89,18,34,80,55.25,General
2300148,afsar,17,72,29,58,44,SC
2300149,afsari,82,26,62,16,46.5,SC
2300150,afsha,39,30,53,38,40,EWS
2300151,afshana,37,18,94,83,58,EWS
2300152,afshar,94,27,30,59,52.5,EWS
2300153,aftab,94,66,32,80,68,ST
2300154,afzaj,40,59,18,76,48.25,General
2300155,afzal,81,51,94,88,78.5,EWS
2300156,agrej,60,74,30,76,60,SC
2300157,agyapad,96,56,88,65,76.25,General
2300158,ahamad,30,58,86,24,49.5,General
2300159,ahmad,45,30,68,59,50.5,ST
2300160,ahmed,65,88,52,73,69.5,EWS
2300161,ahsamin,91,27,39,49,51.5,General
2300162,ahsan,32,46,69,48,48.75,General
2300163,ahupendra,56,78,29,89,63,SC
2300164,aidtya,77,93,98,23,72.75,SC
2300165,aijay,62,54,36,56,52,General
2300166,aisha,23,68,24,79,48.5,SC
2300167,aishe,45,49,34,39,41.75,General
2300168,aishwarya,16,81,71,72,60,EWS
2300169,ajab,81,93,97,52,80.75,EWS
2300170,ajad,40,76,15,97,57,SC
2300171,ajahar,91,98,26,97,78,EWS
2300172,ajaj,43,65,50,35,48.25,ST
2300173,ajara,25,36,20,15,24,ST
2300174,ajay,96,84,65,58,75.75,SC
2300175,ajaypal,55,88,71,54,67,ST
2300176,ajeem,49,54,24,63,47.5,SC
2300177,ajeet,48,19,73,35,43.75,ST
2300178,ajim,69,54,22,86,57.75,SC
2300179,ajima,89,83,53,30,63.75,General
2300180,ajit,70,77,71,15,58.25,SC
2300181,ajju,60,69,68,86,70.75,ST
2300182,ajkati,29,60,61,85,58.75,EWS
2300183,ajmal,42,59,25,62,47,EWS
2300184,ajman,91,71,95,46,75.75,EWS
2300185,ajmer,89,75,77,64,76.25,EWS
2300186,ajmeri,97,18,80,87,70.5,SC
2300187,ajmit,88,27,89,95,74.75,SC
2300188,ajnabi,36,61,37,72,51.5,EWS
2300189,ajnoor,26,71,70,42,52.25,General
2300190,ajra,79,96,16,52,60.75,General
2300191,akaash,77,20,40,25,40.5,General
2300192,akansh,50,40,85,97,68,General
2300193,akansha,30,87,28,75,55,ST
2300194,akash,61,23,25,86,48.75,General
2300195,akashya,56,20,84,20,45,General
2300196,akbar,58,45,79,58,60,EWS
2300197,akbari,17,43,26,44,32.5,EWS
2300198,akeel,36,30,26,60,38,SC
2300199,akhalak,57,64,85,69,68.75,EWS
2300200,akhatari,87,35,36,56,53.5,General
2300201,akheelesh,98,71,18,23,52.5,ST
2300202,akhil,83,52,81,72,72,ST
2300203,akhilesh,50,62,31,93,59,ST
2300204,akhileshwer,88,87,31,30,59,ST
2300205,akhlaq,85,42,64,92,70.75,SC
2300206,akhlesh,94,51,39,42,56.5,EWS
2300207,akhlish,49,57,54,27,46.75,General
2300208,akhtar,40,86,61,86,68.25,SC
2300209,akhtari,89,81,86,79,83.75,SC
2300210,akib,95,33,97,78,75.75,ST
2300211,akif,56,27,81,38,50.5,General
2300212,akil,75,31,54,40,50,ST
2300213,akilesh,92,76,62,62,73,ST
2300214,akkash,22,90,79,33,56,General
2300215,akkni,82,26,58,38,51,EWS
2300216,akram,56,48,52,58,53.5,EWS
2300217,akshat,71,66,27,64,57,EWS
2300218,akshay,84,46,88,77,73.75,SC
2300219,akshit,84,24,21,56,46.25,ST
2300220,akshita,22,70,30,71,48.25,EWS
2300221,akshpaat,33,35,47,83,49.5,General
2300222,akthari,70,64,22,48,51,ST
2300223,aktri,25,52,92,90,64.75,ST
2300224,al0k,36,99,58,100,73.25,ST
2300225,alahbasri,26,18,67,34,36.25,SC
2300226,alam,58,34,46,60,49.5,EWS
2300227,alapna,61,59,25,82,56.75,SC
2300228,alaudin,67,39,89,91,71.5,ST
2300229,albaksha,35,86,90,90,75.25,SC
2300230,albina,49,44,64,30,46.75,ST
2300231,aleesha,33,88,56,38,53.75,ST
2300232,alema,95,67,84,97,85.75,EWS
2300233,alhamdi,66,20,97,41,56,ST
2300234,ali,15,89,46,63,53.25,General
2300235,alijan,55,40,20,27,35.5,EWS
2300236,alim,23,83,52,35,48.25,SC
2300237,alima,74,58,92,87,77.75,EWS
2300238,alina,38,75,46,44,50.75,General
2300239,alis,95,62,21,18,49,ST
2300240,alish,73,96,41,40,62.5,General
2300241,alisha,82,44,41,82,62.25,General
2300242,alita,97,45,70,47,64.75,SC
2300243,aliya,64,35,27,69,48.75,General
2300244,alka,31,64,40,89,56,General
2300245,alkesh,88,58,23,23,48,SC
2300246,allabaksh,69,93,87,59,77,General
2300247,allaraji,38,81,75,82,69,SC
2300248,allauddin,92,99,99,62,88,SC
2300249,alma,50,37,39,54,45,SC
2300250,almina,86,76,25,95,70.5,ST
2300251,alok,26,82,68,80,64,ST
2300252,alseepa,22,93,32,93,60,SC
2300253,altab,69,38,86,80,68.25,General
2300254,altaf,95,100,67,80,85.5,EWS
2300255,altmash,56,80,28,53,54.25,General
2300256,aluddin,26,37,38,75,44,General
2300257,aman,76,55,33,47,52.75,General
2300258,amana,18,36,94,50,49.5,General
2300259,amandeep,16,64,23,38,35.25,EWS
2300260,amanjeet,27,73,60,57,54.25,General
2300261,amar,68,72,43,61,61,General
2300262,amarapal,28,24,82,58,48,ST
2300263,amarchand,53,89,63,96,75.25,General
2300264,amardeep,53,45,43,82,55.75,EWS
2300265,amarendra,33,58,59,65,53.75,ST
2300266,amarin,16,58,52,67,48.25,EWS
2300267,amarjeet,74,53,39,22,47,EWS
2300268,amarjit,79,78,17,99,68.25,EWS
2300269,amarmula,76,56,20,17,42.25,General
2300270,amarnath,76,50,30,32,47,SC
2300271,amart,24,59,32,41,39,SC
2300272,amarvesh,54,59,29,31,43.25,EWS
2300273,amasi,27,19,50,48,36,ST
2300274,amba,72,65,15,47,49.75,General
2300275,amber,58,60,37,44,49.75,General
2300276,ambika,66,23,20,30,34.75,SC
2300277,ambiya,60,87,54,42,60.75,General
2300278,ameen,62,70,28,23,45.75,SC
2300279,ameer,66,70,84,67,71.75,SC
2300280,ameera,27,78,60,51,54,EWS
2300281,amena,92,55,62,39,62,ST
2300282,amida,17,26,41,56,35,SC
2300283,amie,45,44,56,81,56.5,EWS
2300284,amijan,97,46,44,96,70.75,ST
2300285,amil,44,23,69,49,46.25,ST
2300286,amin,34,81,85,34,58.5,General
2300287,amina,36,43,25,18,30.5,EWS
2300288,amir,61,22,73,47,50.75,SC
2300289,amiraka,21,37,64,26,37,SC
2300290,amiri,78,76,18,60,58,ST
2300291,amirul,34,37,80,63,53.5,EWS
2300292,amisha,94,47,30,18,47.25,EWS
2300293,amit,60,33,94,18,51.25,General
2300294,"amit,",83,91,74,20,67,SC
2300295,amita,26,42,26,44,34.5,SC
2300296,amjad,54,68,95,53,67.5,ST
2300297,amjat,67,44,55,64,57.5,General
2300298,amkit,97,64,27,79,66.75,General
2300299,amlesh,61,72,94,96,80.75,EWS
2300300,ammar,21,47,84,69,55.25,General
2300301,amna,17,23,64,85,47.25,General
2300302,amol,60,79,58,83,70,General
2300303,amot,46,23,31,16,29,EWS
2300304,amrat,69,56,98,94,79.25,General
2300305,amratalal,36,52,50,70,52,SC
2300306,amreek,59,40,63,95,64.25,EWS
2300307,amreen,70,21,99,85,68.75,SC
2300308,amreeta,66,46,60,81,63.25,EWS
2300309,amri,69,83,29,99,70,General
2300310,amrik,20,64,54,44,45.5,General
2300311,amrika,37,50,26,68,45.25,ST
2300312,amrin,25,61,43,100,57.25,EWS
2300313,amrish,69,86,36,44,58.75,SC
2300314,amrit,48,84,79,55,66.5,General
2300315,amrita,80,18,25,89,53,EWS
2300316,amritha,92,80,79,27,69.5,EWS
2300317,amritpal,100,60,84,65,77.25,ST
2300318,amrjeet,25,42,58,73,49.5,ST
2300319,amrooti,22,19,91,63,48.75,EWS
2300320,amrta,44,44,92,49,57.25,SC
2300321,amrudin,15,43,38,25,30.25,SC
2300322,amuchla,95,70,44,21,57.5,SC
2300323,amuda,67,25,58,88,59.5,SC
2300324,amzad,88,66,98,100,88,SC
2300325,anadi,90,67,20,75,63,SC
2300326,anaji,47,69,42,81,59.75,General
2300327,anam,51,91,32,72,61.5,General
2300328,anamika,65,58,56,19,49.5,EWS
2300329,anamol,87,75,46,64,68,General
2300330,anand,85,36,43,85,62.25,SC
2300331,anandi,99,18,67,45,57.25,General
2300332,anandu,29,44,45,27,36.25,SC
2300333,anandwati,25,52,95,85,64.25,SC
2300334,anantram,95,93,40,84,78,EWS
2300335,anara,93,77,62,27,64.75,SC
2300336,anarkali,57,90,53,44,61,EWS
2300337,anaro,21,37,38,22,29.5,EWS
2300338,anash,46,47,35,57,46.25,SC
2300339,anayatha,93,54,99,16,65.5,SC
2300340,anchal,65,31,74,68,59.5,SC
2300341,andhav,80,64,85,85,78.5,ST
2300342,aneeta,26,76,50,48,50,SC
2300343,anekha,49,36,50,17,38,SC
2300344,angad,64,20,98,94,69,EWS
2300345,angan,87,37,71,94,72.25,General
2300346,angda,47,22,47,80,49,General
2300347,angreg,93,40,30,51,53.5,ST
2300348,anguri,37,40,49,15,35.25,EWS
2300349,anikesh,58,46,53,53,52.5,EWS
2300350,aniket,70,69,46,82,66.75,SC
2300351,anikt,18,19,80,75,48,ST
2300352,anil,20,46,55,42,40.75,SC
2300353,animesh,62,43,62,50,54.25,General
2300354,anirudh,63,91,50,41,61.25,General
2300355,anish,87,83,84,58,78,General
2300356,anisha,76,54,79,59,67,EWS
2300357,anita,42,52,81,29,51,EWS
2300358,anja,66,54,56,56,58,EWS
2300359,anjal,99,86,49,17,62.75,EWS
2300360,anjali,81,33,51,96,65.25,ST
2300361,anjaly,50,22,89,70,57.75,EWS
2300362,anjan,28,71,53,88,60,ST
2300363,anjana,26,47,54,49,44,EWS
2300364,anjani,71,60,33,64,57,General
2300365,anjara,83,25,42,66,54,General
2300366,anjeev,22,19,84,27,38,SC
2300367,anjila,52,15,38,44,37.25,SC
2300368,anjli,16,69,65,45,48.75,EWS
2300369,anjna,26,65,38,41,42.5,EWS
2300370,anjrej,42,38,41,100,55.25,General
2300371,anju,20,89,82,22,53.25,EWS
2300372,anjum,80,53,54,59,61.5,ST
2300373,anjuman,36,67,96,24,55.75,General
2300374,ankaj,73,17,36,58,46,SC
2300375,ankala,59,58,44,27,47,SC
2300376,ankeet,99,27,97,62,71.25,EWS
2300377,ankesh,100,55,95,36,71.5,General
2300378,ankit,42,68,75,57,60.5,General
2300379,ankita,92,81,70,100,85.75,General
2300380,ankur,16,84,54,20,43.5,SC
2300381,ankus,58,60,37,71,56.5,EWS
2300382,ankush,28,44,67,76,53.75,ST
2300383,anli,95,34,36,85,62.5,General
2300384,anmol,15,25,35,34,27.25,SC
2300385,annat,46,46,58,60,52.5,SC
2300386,annavi,83,88,65,96,83,General
2300387,annielal,93,55,58,22,57,General
2300388,anno,99,37,55,68,64.75,EWS
2300389,annu,63,77,39,28,51.75,EWS
2300390,anoj,28,76,75,35,53.5,SC
2300391,anokha,80,48,30,89,61.75,ST
2300392,anooj,50,20,40,36,36.5,General
2300393,anoop,15,46,74,22,39.25,SC
2300394,anoopama,42,90,84,20,59,General
2300395,anoura,53,38,100,93,71,EWS
2300396,ansal,79,62,83,37,65.25,EWS
2300397,ansar,69,63,43,39,53.5,EWS
2300398,ansh,78,95,62,36,67.75,SC
2300399,anshika,35,84,93,100,78,SC
2300400,anshiya,95,38,56,41,57.5,ST
2300401,anshu,53,16,30,73,43,General
2300402,anshul,51,56,98,59,66,General
2300403,anshum,89,93,39,51,68,General
2300404,anshuman,15,58,33,100,51.5,SC
2300405,ansu,67,52,73,76,67,SC
2300406,ansul,71,60,96,20,61.75,General
2300407,anta,24,15,86,46,42.75,General
2300408,antim,85,93,89,84,87.75,ST
2300409,antima,17,41,27,77,40.5,SC
2300410,anu,34,78,83,31,56.5,General
2300411,anubhav,100,43,75,96,78.5,General
2300412,anuj,86,61,37,97,70.25,SC
2300413,anuja,54,75,89,69,71.75,ST
2300414,anup,15,55,15,59,36,SC
2300415,anupam,34,68,98,27,56.75,SC
2300416,anupama,28,83,61,40,53,General
2300417,anupuma,36,45,36,27,36,ST
2300418,anuradha,60,41,70,51,55.5,General
2300419,anurag,15,27,58,71,42.75,General
2300420,anuraj,54,74,22,62,53,ST
2300421,anurudh,92,53,58,77,70,SC
2300422,anushka,38,78,80,98,73.5,SC
2300423,anuska,75,75,27,92,67.25,EWS
2300424,anusoya,82,63,36,44,56.25,ST
2300425,anuu,69,74,39,42,56,General
2300426,anwar,77,88,43,23,57.75,SC
2300427,anwari,28,48,94,83,63.25,General
2300428,any,90,59,46,90,71.25,ST
2300429,anzum,85,64,90,56,73.75,SC
2300430,aoosaf,27,54,65,24,42.5,General
2300431,aparna,49,68,58,51,56.5,General
2300432,aphasana,43,90,23,74,57.5,SC
2300433,aphsana,47,52,99,50,62,SC
2300434,apsana,72,23,31,20,36.5,ST
2300435,arab,23,65,53,58,49.75,EWS
2300436,araddhna,40,38,71,29,44.5,General
2300437,aradhana,29,64,65,22,45,ST
2300438,arajun,81,91,16,95,70.75,SC
2300439,araslan,99,95,16,88,74.5,SC
2300440,arati,49,23,46,64,45.5,EWS
2300441,aravind,67,85,52,24,57,EWS
2300442,arbaj,31,35,43,52,40.25,General
2300443,arbana,60,80,72,85,74.25,SC
2300444,arbaz,55,27,59,77,54.5,General
2300445,archan,28,32,48,73,45.25,EWS
2300446,archana,77,87,56,46,66.5,EWS
2300447,archita,50,64,48,35,49.25,General
2300448,archna,39,56,27,96,54.5,General
2300449,areen,21,91,28,64,51,ST
2300450,arham,81,50,54,54,59.75,ST
2300451,arhiyant,33,41,15,51,35,ST
2300452,ariba,23,91,77,60,62.75,SC
2300453,arif,17,36,73,43,42.25,EWS
2300454,arifa,42,51,71,21,46.25,ST
2300455,arindom,63,56,91,51,65.25,EWS
2300456,arindra,17,53,25,67,40.5,EWS
2300457,arjina,88,40,29,44,50.25,ST
2300458,arjun,39,53,32,91,53.75,EWS
2300459,armaan,80,58,37,44,54.75,SC
2300460,arman,34,37,33,77,45.25,EWS
2300461,armita,64,15,37,55,42.75,SC
2300462,arnab,50,46,61,60,54.25,EWS
2300463,arnabjit,100,41,87,32,65,General
2300464,arpit,63,35,24,41,40.75,General
2300465,arpna,68,19,97,58,60.5,EWS
2300466,arsad,86,19,57,30,48,General
2300467,arsh,59,30,41,75,51.25,ST
2300468,arshad,62,98,85,53,74.5,EWS
2300469,arshi,78,74,95,65,78,EWS
2300470,arshla,25,54,73,54,51.5,SC
2300471,arsi,40,38,51,75,51,SC
2300472,arthi,40,49,51,35,43.75,ST
2300473,arti,71,71,45,50,59.25,General
2300474,aru,52,26,31,33,35.5,General
2300475,arun,45,99,79,69,73,SC
2300476,aruna,22,42,69,78,52.75,ST
2300477,aruni,57,30,47,100,58.5,General
2300478,arunkumar,23,90,82,97,73,ST
2300479,arvind,64,92,35,62,63.25,EWS
2300480,arvinder,52,77,31,100,65,ST
2300481,aryan,89,80,32,56,64.25,EWS
2300482,arzoo,42,28,18,63,37.75,ST
2300483,asagar,24,33,38,100,48.75,General
2300484,asana,58,54,28,83,55.75,General
2300485,asanti,97,97,18,95,76.75,SC
2300486,asarfi,98,45,89,81,78.25,SC
2300487,asfak,69,20,100,75,66,EWS
2300488,asfaq,72,67,80,88,76.75,SC
2300489,asgar,52,59,88,60,64.75,ST
2300490,asgari,44,21,17,89,42.75,SC
2300491,asha,74,73,97,96,85,EWS
2300492,ashad,84,46,72,36,59.5,ST
2300493,ashak,100,56,71,25,63,ST
2300494,ashanjali,99,52,56,67,68.5,SC
2300495,asharam,24,22,93,42,45.25,General
2300496,asharani,17,21,57,100,48.75,General
2300497,ashfaq,87,74,77,15,63.25,EWS
2300498,ashif,32,94,79,54,64.75,SC
2300499,ashik,60,94,38,43,58.75,General
2300500,ashima,92,17,87,89,71.25,EWS
2300501,ashiqu,84,27,49,84,61,SC
2300502,ashish,33,73,88,41,58.75,General
2300503,ashishi,97,70,41,20,57,EWS
2300504,ashiya,75,83,46,70,68.5,SC
2300505,ashlam,67,96,66,56,71.25,General
2300506,ashma,60,54,90,45,62.25,General
2300507,ashman,69,58,50,31,52,General
2300508,ashmi,50,43,78,62,58.25,ST
2300509,ashmin,97,46,96,32,67.75,SC
2300510,ashnu,30,79,76,77,65.5,EWS
2300511,asho,65,75,98,82,80,SC
2300512,ashok,97,38,55,82,68,ST
2300513,ashra,97,41,44,53,58.75,SC
2300514,ashrabi,41,81,60,64,61.5,SC
2300515,ashraf,16,53,66,91,56.5,SC
2300516,ashrfi,32,34,34,77,44.25,EWS
2300517,ashshwer,39,43,53,25,40,ST
2300518,ashsish,69,100,41,93,75.75,SC
2300519,ashtha,33,47,18,70,42,ST
2300520,ashu,66,20,58,78,55.5,SC
2300521,ashutosh,34,57,85,71,61.75,General
2300522,ashwani,17,85,73,46,55.25,EWS
2300523,ashwini,46,93,18,95,63,SC
2300524,asi,15,95,23,96,57.25,General
2300525,asif,89,88,61,50,72,ST
2300526,asish,84,18,64,62,57,ST
2300527,asiwani,85,24,31,59,49.75,General
2300528,asiya,53,97,46,68,66,EWS
2300529,aslam,61,97,25,38,55.25,General
2300530,asma,67,52,53,80,63,General
2300531,asman,25,44,81,44,48.5,General
2300532,asmat,39,51,38,85,53.25,EWS
2300533,asmin,31,53,58,35,44.25,SC
2300534,asmina,99,19,37,15,42.5,EWS
2300535,asmit,71,80,28,53,58,SC
2300536,asmita,95,81,89,84,87.25,General
2300537,asrani,90,52,69,72,70.75,General
2300538,asrf,98,88,78,61,81.25,EWS
2300539,asruddin,22,40,83,18,40.75,ST
2300540,astha,59,92,75,73,74.75,EWS
2300541,asutosh,18,62,33,67,45,ST
2300542,aswani,90,25,89,67,67.75,SC
2300543,aswin,46,21,75,41,45.75,General
2300544,atanu,93,32,26,48,49.75,SC
2300545,ateek,84,81,66,99,82.5,SC
2300546,atif,81,76,52,88,74.25,ST
2300547,atiq,42,64,100,70,69,General
2300548,atish,89,56,83,95,80.75,SC
2300549,atitaj,50,76,86,32,61,General
2300550,atta,22,74,56,87,59.75,SC
2300551,attar,32,96,48,68,61,SC
2300552,atu,89,29,25,39,45.5,SC
2300553,atul,36,70,89,21,54,EWS
2300554,avadh,78,32,55,82,61.75,General
2300555,avantika,47,73,30,21,42.75,EWS
2300556,avastha,22,70,17,60,42.25,EWS
2300557,avdesh,96,65,35,39,58.75,General
2300558,avdhesh,25,36,74,32,41.75,General
2300559,avfesh,28,27,39,86,45,ST
2300560,avi,64,39,71,55,57.25,ST
2300561,avid,30,79,63,38,52.5,EWS
2300562,avinas,91,64,17,86,64.5,ST
2300563,avinash,60,78,76,36,62.5,ST
2300564,avinsh,33,60,48,59,50,General
2300565,avneet,97,65,31,95,72,ST
2300566,avnish,38,75,42,94,62.25,ST
2300567,avnit,37,37,21,50,36.25,General
2300568,avtar,93,67,68,34,65.5,EWS
2300569,awdesh,18,38,88,38,45.5,General
2300570,awdhesh,21,100,84,30,58.75,General
2300571,awedhesh,53,92,95,54,73.5,ST
2300572,awshin,99,22,60,85,66.5,ST
2300573,axat,71,75,98,73,79.25,ST
2300574,ayan,32,90,15,20,39.25,General
2300575,ayasha,90,20,86,50,61.5,SC
2300576,aysha,92,74,73,59,74.5,ST
2300577,ayub,98,91,75,99,90.75,SC
2300578,ayube,47,23,27,63,40,ST
2300579,ayush,42,35,32,53,40.5,SC
2300580,ayushi,78,76,21,25,50,General
2300581,azad,91,52,88,34,66.25,General
2300582,azam,78,39,59,16,48,SC
2300583,azaruddin,86,91,59,37,68.25,SC
2300584,azaz,95,50,85,69,74.75,ST
2300585,azhar,56,48,44,77,56.25,SC
2300586,azim,64,56,40,87,61.75,General
2300587,azmira,38,82,97,51,67,SC
2300588,azruddin,19,76,59,15,42.25,ST
2300589,baam,79,46,20,93,59.5,General
2300590,babali,89,64,88,21,65.5,General
2300591,babalu,16,59,36,32,35.75,ST
2300592,baban,83,23,20,29,38.75,SC
2300593,babar,53,60,84,69,66.5,SC
2300594,babbi,80,84,20,77,65.25,General
2300595,babbu,40,48,93,94,68.75,ST
2300596,babby,59,74,80,50,65.75,ST
2300597,babita,54,72,65,77,67,General
2300598,babli,89,37,34,88,62,EWS
2300599,babloo,19,59,94,24,49,SC
2300600,bablu,65,87,42,42,59,ST
2300601,babram,74,65,49,90,69.5,General
2300602,babu,50,16,77,58,50.25,General
2300603,babudden,16,54,19,79,42,EWS
2300604,babuddin,81,71,23,71,61.5,General
2300605,babul,23,50,26,53,38,ST
2300606,babulal,58,57,29,56,50,SC
2300607,babupuri,40,60,42,50,48,ST
2300608,baburam,37,20,27,25,27.25,SC
2300609,baby,37,81,80,77,68.75,EWS
2300610,baccha,69,96,26,81,68,ST
2300611,bacche,43,73,37,15,42,ST
2300612,bacchu,34,81,46,99,65,EWS
2300613,bachan,60,35,95,28,54.5,EWS
2300614,bachcha,88,88,93,55,81,ST
2300615,bachheshwar,54,39,71,29,48.25,General
